ID,Node_Type,Node_Label,Parent,Question
159,Ayat,Pasal 42 ayat (2),Pasal 42,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 42 ayat (2)?
160,Bab,BAB VIII PENGELOLAAN DATA DAN PELINDUNGAN DATA PRIBADI DALAM PENYELENGGARAAN TI BANK,Regulasi,"Secara umum, BAB VIII PENGELOLAAN DATA DAN PELINDUNGAN DATA PRIBADI DALAM PENYELENGGARAAN TI BANK itu ngomongin soal apa sih di aturan OJK? Tolong jelasin singkat."
161,Bagian,Bagian Kesatu Pengelolaan Data oleh Bank,BAB VIII PENGELOLAAN DATA DAN PELINDUNGAN DATA PRIBADI DALAM PENYELENGGARAAN TI BANK,Tolong jelasin dong maksud dari dibuatnya Bagian Kesatu Pengelolaan Data oleh Bank pada bab BAB VIII PENGELOLAAN DATA DAN PELINDUNGAN DATA PRIBADI DALAM PENYELENGGARAAN TI BANK!
162,Pasal,Pasal 43,Bagian Kesatu Pengelolaan Data oleh Bank,"Mau nanya dong, gimana kewajiban bank atau direksi yang tertuang di Pasal 43 POJK 11?"
163,Ayat,Pasal 43 ayat (1),Pasal 43,Tolong jelasin maksud operasional dari Pasal 43 ayat (1) POJK No. 11/POJK.03/2022.
164,Ayat,Pasal 43 ayat (2),Pasal 43,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 43 ayat (2)?
165,Ayat,Pasal 43 ayat (3),Pasal 43,"Mau nanya dong, syarat utamanya apa untuk Pasal 43 ayat (3) POJK 11 di aturan OJK?"
166,Bagian,Bagian Kedua Pelindungan Data Pribadi oleh Bank,BAB VIII PENGELOLAAN DATA DAN PELINDUNGAN DATA PRIBADI DALAM PENYELENGGARAAN TI BANK,Tolong jelasin dong maksud dari dibuatnya Bagian Kedua Pelindungan Data Pribadi oleh Bank pada bab BAB VIII PENGELOLAAN DATA DAN PELINDUNGAN DATA PRIBADI DALAM PENYELENGGARAAN TI BANK!
167,Pasal,Pasal 44,Bagian Kedua Pelindungan Data Pribadi oleh Bank,"Mau nanya dong, gimana kewajiban bank atau direksi yang tertuang di Pasal 44 POJK 11?"
168,Ayat,Pasal 44 ayat (1),Pasal 44,Tolong jelasin maksud operasional dari Pasal 44 ayat (1) POJK No. 11/POJK.03/2022.
169,Ayat,Pasal 44 ayat (2),Pasal 44,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 44 ayat (2)?
170,Pasal,Pasal 45,Bagian Kedua Pelindungan Data Pribadi oleh Bank,"Mau nanya dong, apa maksud dari Pasal 45 POJK TI Bank sih?"
171,Ayat,Pasal 45 ayat (1),Pasal 45,Maksud dari aturan di Pasal 45 ayat (1) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
172,Ayat,Pasal 45 ayat (2),Pasal 45,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 45 ayat (2)?
173,Pasal,Pasal 46,Bagian Kedua Pelindungan Data Pribadi oleh Bank,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 46!
174,Ayat,Pasal 46 ayat (1),Pasal 46,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 46 ayat (1)?
175,Ayat,Pasal 46 ayat (2),Pasal 46,"Mau nanya dong, syarat utamanya apa untuk Pasal 46 ayat (2) POJK 11 di aturan OJK?"
176,Pasal,Pasal 47,Bagian Kedua Pelindungan Data Pribadi oleh Bank,Pasal 47 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
177,Bab,BAB IX PENYEDIAAN JASA TI OLEH BANK,Regulasi,Tolong buatin rangkuman sederhana dong buat aturan-aturan yang ada di BAB IX PENYEDIAAN JASA TI OLEH BANK!
178,Pasal,Pasal 48,BAB IX PENYEDIAAN JASA TI OLEH BANK,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 48!
179,Ayat,Pasal 48 ayat (1),Pasal 48,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 48 ayat (1)?
180,Ayat,Pasal 48 ayat (2),Pasal 48,"Mau nanya dong, apa maksud dari Pasal 48 ayat (2) POJK 11 sih?"
181,Ayat,Pasal 48 ayat (3),Pasal 48,Maksud dari aturan di Pasal 48 ayat (3) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
182,Ayat,Pasal 48 ayat (4),Pasal 48,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 48 ayat (4)?
183,Pasal,Pasal 49,BAB IX PENYEDIAAN JASA TI OLEH BANK,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 49!
184,Ayat,Pasal 49 ayat (1),Pasal 49,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 49 ayat (1)?
185,Ayat,Pasal 49 ayat (2),Pasal 49,"Mau nanya dong, syarat utamanya apa untuk Pasal 49 ayat (2) POJK 11 di aturan OJK?"
186,Pasal,Pasal 50,BAB IX PENYEDIAAN JASA TI OLEH BANK,Pasal 50 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
187,Ayat,Pasal 50 ayat (1),Pasal 50,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 50 ayat (1)?
188,Ayat,Pasal 50 ayat (2),Pasal 50,Tolong jelasin maksud operasional dari Pasal 50 ayat (2) POJK No. 11/POJK.03/2022.
189,Pasal,Pasal 51,BAB IX PENYEDIAAN JASA TI OLEH BANK,Apa saja konsekuensi riil kalau bank melalaikan aturan di Pasal 51 POJK TI Bank ini?
190,Ayat,Pasal 51 ayat (1),Pasal 51,"Mau nanya dong, apa maksud dari Pasal 51 ayat (1) POJK 11 sih?"
191,Ayat,Pasal 51 ayat (2),Pasal 51,Maksud dari aturan di Pasal 51 ayat (2) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
192,Pasal,Pasal 52,BAB IX PENYEDIAAN JASA TI OLEH BANK,"Mau nanya dong, gimana kewajiban bank atau direksi yang tertuang di Pasal 52 POJK 11?"
193,Bab,BAB X PENGENDALIAN DAN AUDIT INTERN DALAM PENYELENGGARAAN TI BANK,Regulasi,"Di dalam BAB X PENGENDALIAN DAN AUDIT INTERN DALAM PENYELENGGARAAN TI BANK POJK TI Bank ini, fokus utamanya mengarah ke regulasi apa ya?"
194,Bagian,Bagian Kesatu Pengendalian Intern Bank dalam Penyelenggaraan TI,BAB X PENGENDALIAN DAN AUDIT INTERN DALAM PENYELENGGARAAN TI BANK,Kira-kira gimana sih implikasi dari Bagian Kesatu Pengendalian Intern Bank dalam Penyelenggaraan TI di BAB X PENGENDALIAN DAN AUDIT INTERN DALAM PENYELENGGARAAN TI BANK terhadap kepatuhan bank?
195,Pasal,Pasal 53,Bagian Kesatu Pengendalian Intern Bank dalam Penyelenggaraan TI,"Mau nanya dong, syarat utamanya apa untuk Pasal 53 POJK TI Bank di aturan OJK?"
196,Ayat,Pasal 53 ayat (1),Pasal 53,Maksud dari aturan di Pasal 53 ayat (1) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
197,Ayat,Pasal 53 ayat (2),Pasal 53,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 53 ayat (2)?
198,Ayat,Pasal 53 ayat (3),Pasal 53,Tolong jelasin maksud operasional dari Pasal 53 ayat (3) POJK No. 11/POJK.03/2022.
199,Ayat,Pasal 53 ayat (4),Pasal 53,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 53 ayat (4)?
200,Bagian,Bagian Kedua Audit Intern dalam Penyelenggaraan TI,BAB X PENGENDALIAN DAN AUDIT INTERN DALAM PENYELENGGARAAN TI BANK,"Ada yang tahu nggak, apa saja poin krusial yang dibahas di Bagian Kedua Audit Intern dalam Penyelenggaraan TI dari BAB X PENGENDALIAN DAN AUDIT INTERN DALAM PENYELENGGARAAN TI BANK?"
201,Pasal,Pasal 54,Bagian Kedua Audit Intern dalam Penyelenggaraan TI,Pasal 54 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
202,Ayat,Pasal 54 ayat (1),Pasal 54,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 54 ayat (1)?
203,Ayat,Pasal 54 ayat (2),Pasal 54,Tolong jelasin maksud operasional dari Pasal 54 ayat (2) POJK No. 11/POJK.03/2022.
204,Ayat,Pasal 54 ayat (3),Pasal 54,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 54 ayat (3)?
205,Ayat,Pasal 54 ayat (4),Pasal 54,"Mau nanya dong, syarat utamanya apa untuk Pasal 54 ayat (4) POJK 11 di aturan OJK?"
206,Pasal,Pasal 55,Bagian Kedua Audit Intern dalam Penyelenggaraan TI,Pasal 55 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
207,Ayat,Pasal 55 ayat (1),Pasal 55,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 55 ayat (1)?
208,Ayat,Pasal 55 ayat (2),Pasal 55,Tolong jelasin maksud operasional dari Pasal 55 ayat (2) POJK No. 11/POJK.03/2022.
209,Ayat,Pasal 55 ayat (3),Pasal 55,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 55 ayat (3)?
210,Pasal,Pasal 56,Bagian Kedua Audit Intern dalam Penyelenggaraan TI,"Mau nanya dong, apa maksud dari Pasal 56 POJK TI Bank sih?"
211,Ayat,Pasal 56 ayat (1),Pasal 56,Maksud dari aturan di Pasal 56 ayat (1) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
212,Ayat,Pasal 56 ayat (2),Pasal 56,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 56 ayat (2)?
213,Pasal,Pasal 57,Bagian Kedua Audit Intern dalam Penyelenggaraan TI,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 57!
214,Bab,BAB XI PELAPORAN,Regulasi,"Mau nanya dong, apa maksud utama OJK mencantumkan bab khusus tentang XI PELAPORAN ini?"
215,Bagian,Bagian Kesatu Laporan Penyelenggaraan TI,BAB XI PELAPORAN,"Ada yang tahu nggak, apa saja poin krusial yang dibahas di Bagian Kesatu Laporan Penyelenggaraan TI dari BAB XI PELAPORAN?"
216,Pasal,Pasal 58,Bagian Kesatu Laporan Penyelenggaraan TI,Pasal 58 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
217,Ayat,Pasal 58 ayat (1),Pasal 58,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 58 ayat (1)?
218,Ayat,Pasal 58 ayat (2),Pasal 58,Tolong jelasin maksud operasional dari Pasal 58 ayat (2) POJK No. 11/POJK.03/2022.
219,Ayat,Pasal 58 ayat (3),Pasal 58,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 58 ayat (3)?
220,Ayat,Pasal 58 ayat (4),Pasal 58,"Mau nanya dong, apa maksud dari Pasal 58 ayat (4) POJK 11 sih?"
221,Pasal,Pasal 59,Bagian Kesatu Laporan Penyelenggaraan TI,Pasal 59 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
222,Bagian,Bagian Kedua Laporan Insidentil,BAB XI PELAPORAN,"Di dalam Bagian Kedua Laporan Insidentil (BAB XI PELAPORAN), apa kewajiban teknis yang ditekankan untuk pihak bank?"
223,Pasal,Pasal 60,Bagian Kedua Laporan Insidentil,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 60!
224,Ayat,Pasal 60 ayat (1),Pasal 60,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 60 ayat (1)?
225,Ayat,Pasal 60 ayat (2),Pasal 60,"Mau nanya dong, syarat utamanya apa untuk Pasal 60 ayat (2) POJK 11 di aturan OJK?"
226,Ayat,Pasal 60 ayat (3),Pasal 60,Maksud dari aturan di Pasal 60 ayat (3) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
227,Ayat,Pasal 60 ayat (4),Pasal 60,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 60 ayat (4)?
228,Ayat,Pasal 60 ayat (5),Pasal 60,Tolong jelasin maksud operasional dari Pasal 60 ayat (5) POJK No. 11/POJK.03/2022.
229,Bagian,Bagian Ketiga Laporan Realisasi Penyelenggaraan TI Bank,BAB XI PELAPORAN,Kira-kira gimana sih implikasi dari Bagian Ketiga Laporan Realisasi Penyelenggaraan TI Bank di BAB XI PELAPORAN terhadap kepatuhan bank?
230,Pasal,Pasal 61,Bagian Ketiga Laporan Realisasi Penyelenggaraan TI Bank,"Mau nanya dong, apa maksud dari Pasal 61 POJK TI Bank sih?"
231,Ayat,Pasal 61 ayat (1),Pasal 61,Maksud dari aturan di Pasal 61 ayat (1) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
232,Ayat,Pasal 61 ayat (2),Pasal 61,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 61 ayat (2)?
233,Bagian,Bagian Keempat Tata Cara Penyampaian Laporan,BAB XI PELAPORAN,Bagian aturan Bagian Keempat Tata Cara Penyampaian Laporan yang ada di BAB XI PELAPORAN itu sebenarnya syarat pelaksanaannya gimana?
234,Pasal,Pasal 62,Bagian Keempat Tata Cara Penyampaian Laporan,Apa saja konsekuensi riil kalau bank melalaikan aturan di Pasal 62 POJK TI Bank ini?
235,Ayat,Pasal 62 ayat (1),Pasal 62,"Mau nanya dong, syarat utamanya apa untuk Pasal 62 ayat (1) POJK 11 di aturan OJK?"
236,Ayat,Pasal 62 ayat (2),Pasal 62,Maksud dari aturan di Pasal 62 ayat (2) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
237,Ayat,Pasal 62 ayat (3),Pasal 62,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 62 ayat (3)?
238,Pasal,Pasal 63,Bagian Keempat Tata Cara Penyampaian Laporan,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 63!
239,Ayat,Pasal 63 ayat (1),Pasal 63,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 63 ayat (1)?
240,Ayat,Pasal 63 ayat (2),Pasal 63,"Mau nanya dong, apa maksud dari Pasal 63 ayat (2) POJK 11 sih?"
241,Pasal,Pasal 64,Bagian Keempat Tata Cara Penyampaian Laporan,Pasal 64 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
242,Pasal,Pasal 65,Bagian Keempat Tata Cara Penyampaian Laporan,"Mau nanya dong, gimana kewajiban bank atau direksi yang tertuang di Pasal 65 POJK 11?"
243,Bab,BAB XII PENILAIAN TINGKAT MATURITAS DIGITAL BANK,Regulasi,"Di dalam BAB XII PENILAIAN TINGKAT MATURITAS DIGITAL BANK POJK TI Bank ini, fokus utamanya mengarah ke regulasi apa ya?"
244,Pasal,Pasal 66,BAB XII PENILAIAN TINGKAT MATURITAS DIGITAL BANK,Apa saja konsekuensi riil kalau bank melalaikan aturan di Pasal 66 POJK TI Bank ini?
245,Ayat,Pasal 66 ayat (1),Pasal 66,"Mau nanya dong, syarat utamanya apa untuk Pasal 66 ayat (1) POJK 11 di aturan OJK?"
246,Ayat,Pasal 66 ayat (2),Pasal 66,Maksud dari aturan di Pasal 66 ayat (2) itu apa ya buat orang awam? Tolong kasih contoh konkretnya.
247,Ayat,Pasal 66 ayat (3),Pasal 66,Syarat utama apa yang wajib dipenuhi bank sesuai dengan bunyi ketentuan Pasal 66 ayat (3)?
248,Ayat,Pasal 66 ayat (4),Pasal 66,Tolong jelasin maksud operasional dari Pasal 66 ayat (4) POJK No. 11/POJK.03/2022.
249,Ayat,Pasal 66 ayat (5),Pasal 66,Siapa saja sih pihak atau unit kerja bank yang wajib mematuhi aturan di Pasal 66 ayat (5)?
250,Ayat,Pasal 66 ayat (6),Pasal 66,"Mau nanya dong, apa maksud dari Pasal 66 ayat (6) POJK 11 sih?"
251,Bab,BAB XIII KETENTUAN PERALIHAN,Regulasi,"Penasaran nih, kalau kita baca BAB XIII KETENTUAN PERALIHAN, topik dan poin utamanya apa saja?"
252,Pasal,Pasal 67,BAB XIII KETENTUAN PERALIHAN,"Mau nanya dong, gimana kewajiban bank atau direksi yang tertuang di Pasal 67 POJK 11?"
253,Pasal,Pasal 68,BAB XIII KETENTUAN PERALIHAN,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 68!
254,Pasal,Pasal 69,BAB XIII KETENTUAN PERALIHAN,Apa saja konsekuensi riil kalau bank melalaikan aturan di Pasal 69 POJK TI Bank ini?
255,Bab,BAB XIV KETENTUAN PENUTUP,Regulasi,"Secara umum, BAB XIV KETENTUAN PENUTUP itu ngomongin soal apa sih di aturan OJK? Tolong jelasin singkat."
256,Pasal,Pasal 70,BAB XIV KETENTUAN PENUTUP,Pasal 70 POJK No. 11/POJK.03/2022 itu sebenarnya ngatur soal apa sih? Tolong jelasin pakai bahasa santai.
257,Pasal,Pasal 71,BAB XIV KETENTUAN PENUTUP,"Mau nanya dong, gimana kewajiban bank atau direksi yang tertuang di Pasal 71 POJK 11?"
258,Pasal,Pasal 72,BAB XIV KETENTUAN PENUTUP,Tolong jabarkan dong poin-poin wajib yang harus dipenuhi bank biar aman dari sanksi Pasal 72!
259,Pasal,Pasal 73,BAB XIV KETENTUAN PENUTUP,Apa saja konsekuensi riil kalau bank melalaikan aturan di Pasal 73 POJK TI Bank ini?
